Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
147,orumiyeh,37.55,45.08,46.4,65,0,6.93,IR,1601427576
148,antalaha,-14.9,50.28,70.88,89,3,5.44,MG,1601427577
149,clyde river,70.47,-68.59,28.4,79,90,11.41,CA,1601427577
150,gien,47.69,2.63,57.99,98,85,5.06,FR,1601427577
151,togur,58.36,82.83,33.51,92,100,5.86,RU,1601427578
152,petropavlovsk-kamchatskiy,53.05,158.65,51.8,93,75,8.95,RU,1601427578
153,yellowknife,62.46,-114.35,42.8,87,75,12.75,CA,1601427578
154,abu samrah,35.3,37.18,72.32,55,0,7.92,SY,1601427579
155,treinta y tres,-33.23,-54.38,52.09,84,0,8.03,UY,1601427579
156,richards bay,-28.78,32.04,61.77,83,89,5.3,ZA,1601427579
157,zhezkazgan,47.8,67.71,47.55,83,0,11.18,KZ,1601427464
158,cap malheureux,-19.98,57.61,70,88,92,3,MU,1601427580
159,esperance,-33.87,121.9,59,100,0,11.41,AU,1601427580
160,koutsouras,35.03,25.95,73.99,51,0,7,GR,1601427580
161,longyearbyen,78.22,15.64,44.6,75,75,19.46,SJ,1601427523
162,nikolskoye,59.7,30.79,52,93,75,2.24,RU,1601427581
163,igarka,67.47,86.58,36.41,96,100,12.21,RU,1601427581
164,carnarvon,-24.87,113.63,66.2,59,0,16.11,AU,1601427382
165,manono,-7.3,27.42,71.4,86,100,2.19,CD,1601427582
166,naze,28.37,129.48,77,83,75,10.29,JP,1601427582
167,coquimbo,-29.95,-71.34,53.6,76,0,6.93,CL,1601427302
168,tamasopo,21.93,-99.48,53.94,74,88,0.27,MX,1601427582
169,chuy,-33.7,-53.46,52.12,85,3,7.47,UY,1601427583
170,tucupita,9.06,-62.05,76.1,93,99,4.05,VE,1601427394
171,sao filipe,14.9,-24.5,79.5,75,16,10.2,CV,1601427583
172,namatanai,-3.67,152.43,85.21,69,100,3.15,PG,1601427584
173,nenjiang,49.18,125.22,51.64,59,0,4.25,CN,1601427584
174,banda aceh,5.56,95.32,80.98,77,91,5.77,ID,1601427584
175,san isidro,-12.12,-77.05,62.6,77,40,16.11,PE,1601427585
176,asau,46.43,26.4,54,84,100,10.42,RO,1601427359
177,henties bay,-22.12,14.28,51.01,90,0,1.99,NA,1601427585
178,lorengau,-2.02,147.27,85.96,68,100,9.98,PG,1601427585
179,faya,18.39,42.45,62.6,51,0,0.58,SA,1601427586
180,nola,40.92,14.53,55.4,82,0,2.24,IT,1601427586
181,melville,40.79,-73.42,72,88,90,8.05,US,1601427586
182,cao bang,22.67,106.25,78.33,88,97,2.39,VN,1601427587
183,pevek,69.7,170.31,39.45,74,100,19.26,RU,1601427587
184,kaitangata,-46.28,169.85,42.42,86,100,11.74,NZ,1601427587
185,nelson bay,-32.72,152.15,71.01,59,100,8.05,AU,1601427588
186,carlisle,40.2,-77.19,57.99,88,100,1.01,US,1601427294
187,jitra,6.27,100.42,77,100,20,2.24,MY,1601427588
188,axim,4.87,-2.24,75.87,92,100,9.19,GH,1601427589
189,melfi,41,15.65,46.99,99,10,3.27,IT,1601427589
190,kungurtug,50.6,97.52,31.77,92,100,1.9,RU,1601427589
191,kahului,20.89,-156.47,87.8,58,20,13.87,US,1601427589
192,cervo,43.67,-7.41,55,1,0,5.1,ES,1601427414
193,poso,-1.4,120.75,84.13,67,98,2.59,ID,1601427590
194,mattru,7.62,-11.83,73.94,97,77,2.01,SL,1601427585
195,bembibre,42.62,-6.42,51.01,99,0,1.99,ES,1601427591
196,derzhavinsk,51.1,66.32,52.07,83,100,6.31,KZ,1601427386
197,hillsboro,45.52,-122.99,86,32,1,5.82,US,1601427528
198,sakakah,29.97,40.21,77,22,0,6.93,SA,1601427591
199,hithadhoo,-0.6,73.08,83.01,74,100,7.4,MV,1601427592
200,tura,25.52,90.22,75.83,88,26,3.02,IN,1601427592
201,kutum,14.2,24.67,76.55,60,92,3.36,SD,1601427592
202,katsuura,35.13,140.3,73.99,51,0,3,JP,1601427593
203,labuhan,-6.88,112.21,82.94,66,52,5.14,ID,1601427593
204,uray,60.12,64.78,42.44,94,8,6.38,RU,1601427593
205,kinshasa,-4.32,15.32,80.6,69,66,5.82,CD,1601427318
206,tari,12.41,4.49,78.15,78,100,7.72,NG,1601427594
207,san juan,-31.54,-68.54,67.48,18,0,6.64,AR,1601427368
208,lebu,-37.62,-73.65,48.18,86,58,13.6,CL,1601427595
209,inhambane,-23.86,35.38,72.75,84,85,6.35,MZ,1601427595
210,flin flon,54.77,-101.86,48.16,81,100,8.21,CA,1601427380
211,hovd,48.01,91.64,37.54,67,1,4.07,MN,1601427596
212,salta,-24.79,-65.41,68,34,0,5.82,AR,1601427463
213,ocampo,21.65,-101.5,54.59,68,100,14.56,MX,1601427596
214,laguna,38.42,-121.42,97,19,1,4.25,US,1601427596
215,minudasht,37.23,55.37,51.8,35,0,3.31,IR,1601427596
216,bhandara,21.17,79.65,77,83,75,5.82,IN,1601427597
217,chapais,49.78,-74.85,53.6,76,90,6.93,CA,1601427564
218,itaperuna,-21.2,-41.89,73.44,85,100,6.29,BR,1601427597
219,cabras,39.93,8.53,55.99,85,0,1.99,IT,1601427598
220,lompoc,34.64,-120.46,62.6,82,1,14.99,US,1601427598
221,miraflores,19.22,-98.81,55.4,66,90,9.17,MX,1601427598
222,umm kaddadah,13.6,26.69,85.62,54,100,16.11,SD,1601427598
223,alagoa grande,-7.16,-35.63,69.8,88,4,10.29,BR,1601427599
224,koygorodok,60.45,51,45.91,90,100,4.05,RU,1601427599
225,panama city,8.99,-79.52,82.4,78,40,3.36,PA,1601427493
226,victoria,22.29,114.16,84.99,85,48,1.01,HK,1601427486
227,bathsheba,13.22,-59.52,82.4,83,75,20.8,BB,1601427599
228,leshukonskoye,64.9,45.76,43.66,96,13,4.76,RU,1601427599
229,payo,-3.75,103.64,79.75,66,98,2.04,ID,1601427600
230,kuching,1.55,110.33,80.6,88,20,2.24,MY,1601427455
231,tecolutla,20.48,-97.02,71.6,68,90,6.93,MX,1601427600
232,ancud,-41.87,-73.82,37.99,93,100,5.82,CL,1601427601
233,arlit,18.74,7.39,92.17,11,2,3.69,NE,1601427307
234,paka,4.64,103.44,78.8,94,40,4.23,MY,1601427602
235,bethel,41.37,-73.41,69.8,94,90,4.7,US,1601427414
236,nichinan,31.6,131.37,69.8,88,75,5.82,JP,1601427603
237,kloulklubed,7.04,134.26,82.4,83,90,3.36,PW,1601427483
238,cap-aux-meules,47.38,-61.86,64.4,88,20,21.92,CA,1601427604
239,vysokogornyy,50.12,139.15,45.48,74,75,7.81,RU,1601427606
240,margate,51.38,1.39,55,99,76,1.99,GB,1601427608
241,camacha,33.08,-16.33,69.8,73,75,11.41,PT,1601427609
242,dubai,25.26,55.3,87.8,58,0,5.82,AE,1601427345
243,upernavik,72.79,-56.15,24.13,90,83,8.79,GL,1601427610
244,mezen,65.85,44.24,42.64,96,3,5.61,RU,1601427611
245,ranong,9.97,98.63,77,94,75,8.05,TH,1601427612
246,aksarka,66.56,67.8,42.42,90,100,1.07,RU,1601427612
247,jacareacanga,-6.22,-57.75,78.57,64,0,1.7,BR,1601427613
248,charters towers,-20.1,146.27,78.82,42,0,12.55,AU,1601427443
249,la rioja,42.25,-2.5,52,87,0,5.32,ES,1601427614
250,leua,48.22,18.61,57,92,100,5.99,SK,1601427614
251,cam ranh,11.92,109.16,86,79,40,6.93,VN,1601427615
252,varna,43.22,27.92,57.2,71,100,14.99,BG,1601427615
253,ixtapa,20.7,-105.2,87.8,70,40,8.05,MX,1601427616
254,cayenne,4.93,-52.33,77,100,75,7.49,GF,1601427329
255,harbour breton,47.48,-55.8,64,100,47,1.01,CA,1601427616
256,telma,52.7,103.71,37.4,100,75,2.24,RU,1601427617
257,nome,64.5,-165.41,43,60,75,8.05,US,1601427618
